Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
1,Die On This Hill,SIENNA SPIRO,2025-10-10,82,43,52,-5,25,3:37,76,49,37,3397,Sort Your Music.htm,2025-11-02 22:05:22,2gYTC8DsplN3RNdpdBcCOQ,spotify:track:2gYTC8DsplN3RNdpdBcCOQ,Die On This Hill,SIENNA SPIRO,Die On This Hill,2025-10-10,49,,https://open.spotify.com/track/2gYTC8DsplN3RNdpdBcCOQ,playlist
2,MAYBE.,SIENNA SPIRO,2025-10-10,95,35,56,-7,25,3:55,91,43,150,5437,Sort Your Music.htm,2025-11-02 22:05:22,62gBvs83UzqEmHr17OZ69g,spotify:track:62gBvs83UzqEmHr17OZ69g,MAYBE.,SIENNA SPIRO,Die On This Hill,2025-10-10,43,,https://open.spotify.com/track/62gBvs83UzqEmHr17OZ69g,playlist
3,You Stole The Show,SIENNA SPIRO,2025-10-10,118,23,48,-8,29,3:27,70,44,272,4796,Sort Your Music.htm,2025-11-02 22:05:22,4JQDlUXsAAjv9J7I5zC3tN,spotify:track:4JQDlUXsAAjv9J7I5zC3tN,You Stole The Show,SIENNA SPIRO,Die On This Hill,2025-10-10,44,,https://open.spotify.com/track/4JQDlUXsAAjv9J7I5zC3tN,playlist
4,Dream Police,SIENNA SPIRO,2025-10-10,130,67,66,-6,44,3:10,4,40,407,292,Sort Your Music.htm,2025-11-02 22:05:22,28dklcm3EJZdGoO3ctUppc,spotify:track:28dklcm3EJZdGoO3ctUppc,Dream Police,SIENNA SPIRO,Die On This Hill,2025-10-10,40,,https://open.spotify.com/track/28dklcm3EJZdGoO3ctUppc,playlist
5,You You You,Maisie Peters,2025-10-09,125,32,56,-10,31,2:47,78,66,7,1054,Sort Your Music.htm,2025-11-02 22:05:22,0kHP8fxSPNPP40kRHtnfLB,spotify:track:0kHP8fxSPNPP40kRHtnfLB,You You You,Maisie Peters,You You You / Audrey Hepburn,2025-10-09,66,,https://open.spotify.com/track/0kHP8fxSPNPP40kRHtnfLB,playlist
6,Audrey Hepburn,Maisie Peters,2025-10-09,98,37,51,-9,20,3:07,79,64,59,4912,Sort Your Music.htm,2025-11-02 22:05:22,7hoPbfGuOZe6FKBlwB2d21,spotify:track:7hoPbfGuOZe6FKBlwB2d21,Audrey Hepburn,Maisie Peters,You You You / Audrey Hepburn,2025-10-09,64,,https://open.spotify.com/track/7hoPbfGuOZe6FKBlwB2d21,playlist
7,bittersweet,Madison Beer,2025-10-10,110,62,63,-7,18,3:23,74,82,18,8956,Sort Your Music.htm,2025-11-02 22:05:22,3A02hWQ2ebOFDWSbAMNnpw,spotify:track:3A02hWQ2ebOFDWSbAMNnpw,bittersweet,Madison Beer,bittersweet,2025-10-10,82,,https://open.spotify.com/track/3A02hWQ2ebOFDWSbAMNnpw,playlist
8,yes baby,Madison Beer,2025-10-10,134,87,55,-6,46,2:55,0,60,87,4966,Sort Your Music.htm,2025-11-02 22:05:22,32lZok3cXuDyo96lssEiek,spotify:track:32lZok3cXuDyo96lssEiek,yes baby,Madison Beer,bittersweet,2025-10-10,60,,https://open.spotify.com/track/32lZok3cXuDyo96lssEiek,playlist
9,This Is Who I Am - From “The Day of the Jackal”,Celeste,2024-11-06,118,42,50,-7,20,3:51,11,63,11,1461,Sort Your Music.htm,2025-11-02 22:05:22,63ZSKE6wZag6fV3YIfJc4d,spotify:track:63ZSKE6wZag6fV3YIfJc4d,This Is Who I Am - From “The Day of the Jackal”,Celeste,This Is Who I Am (From “The Day of the Jackal”),2024-11-06,63,,https://open.spotify.com/track/63ZSKE6wZag6fV3YIfJc4d,playlist
10,Feet Don't Fail Me Now,Joy Crookes,2025-09-25,113,84,66,-3,57,3:19,17,33,8,5032,Sort Your Music.htm,2025-11-02 22:05:22,1BBhjowlvat4NhusjKtGpa,spotify:track:1BBhjowlvat4NhusjKtGpa,Feet Don't Fail Me Now,Joy Crookes,Fade Your Heart,2025-09-25,33,,https://open.spotify.com/track/1BBhjowlvat4NhusjKtGpa,playlist
