Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
1,King Billy's March/Linfield Tartan,Millrow Loyalist Flute Band,2009-03-05,98,91,65,-12,52,1:31,76,33,6,5668,Sort Your Music.htm,2025-10-21 22:27:49,46tKAUUvrGPiE6fhOVoJzb,spotify:track:46tKAUUvrGPiE6fhOVoJzb,King Billy's March/Linfield Tartan,Millrow Loyalist Flute Band,And Still We Say No Surrender!,2009-03-05,33,,https://open.spotify.com/track/46tKAUUvrGPiE6fhOVoJzb,high
2,Starburster,Fontaines D.C.,2024-08-23,98,86,51,-6,36,3:41,7,76,1,7742,Sort Your Music.htm,2025-10-21 22:27:49,09ttHg3ZNVgDlYBZa1ZBw0,spotify:track:09ttHg3ZNVgDlYBZa1ZBw0,Starburster,Fontaines D.C.,Romance,2024-08-23,76,,https://open.spotify.com/track/09ttHg3ZNVgDlYBZa1ZBw0,high
3,Get Your Brits Out,KNEECAP,2019-10-18,118,78,92,-7,83,3:10,14,65,0,6970,Sort Your Music.htm,2025-10-21 22:27:49,0uowUdDOAcdicQTNWR6zWa,spotify:track:0uowUdDOAcdicQTNWR6zWa,Get Your Brits Out,KNEECAP,Get Your Brits Out,2019-10-18,65,,https://open.spotify.com/track/0uowUdDOAcdicQTNWR6zWa,high
4,Devil's Dance Floor,Flogging Molly,2000-03-07,145,92,47,-6,89,4:00,4,59,7,4279,Sort Your Music.htm,2025-10-21 22:27:49,1QxiAWrrZ2uFrjyzsC5jFg,spotify:track:1QxiAWrrZ2uFrjyzsC5jFg,Devil's Dance Floor,Flogging Molly,Swagger,2000-03-07,59,,https://open.spotify.com/track/1QxiAWrrZ2uFrjyzsC5jFg,high
5,H.O.O.D,KNEECAP,2019-03-28,169,85,66,-5,60,3:01,22,68,12,5711,Sort Your Music.htm,2025-10-21 22:27:49,1r6oq0Rzg47EvcfOL3rD3d,spotify:track:1r6oq0Rzg47EvcfOL3rD3d,H.O.O.D,KNEECAP,H.O.O.D,2019-03-28,68,,https://open.spotify.com/track/1r6oq0Rzg47EvcfOL3rD3d,high
6,Katie Cruel,Lankum,2019-10-25,99,10,19,-8,9,9:18,33,40,2,9450,Sort Your Music.htm,2025-10-21 22:27:49,2U7wexnrhWIOWsAFAJPa6P,spotify:track:2U7wexnrhWIOWsAFAJPa6P,Katie Cruel,Lankum,The Livelong Day,2019-10-25,40,,https://open.spotify.com/track/2U7wexnrhWIOWsAFAJPa6P,high
7,In ár gCroíthe go deo,Fontaines D.C.,2022-04-22,145,67,40,-6,3,5:59,0,55,18,1124,Sort Your Music.htm,2025-10-21 22:27:49,4SrJ7S8Zz9LShbeY7MXpZk,spotify:track:4SrJ7S8Zz9LShbeY7MXpZk,In ár gCroíthe go deo,Fontaines D.C.,Skinty Fia,2022-04-22,55,,https://open.spotify.com/track/4SrJ7S8Zz9LShbeY7MXpZk,high
8,Rich Man And The Poor Man,The Mary Wallopers,2023-10-13,136,39,68,-9,27,2:52,31,45,3,4650,Sort Your Music.htm,2025-10-21 22:27:49,6hMMjRsMeLzfBAgw9xsSvt,spotify:track:6hMMjRsMeLzfBAgw9xsSvt,Rich Man And The Poor Man,The Mary Wallopers,Irish Rock N Roll,2023-10-13,45,,https://open.spotify.com/track/6hMMjRsMeLzfBAgw9xsSvt,high
9,As I Roved Out,The Mary Wallopers,2019-07-06,110,59,73,-10,87,2:47,79,45,32,8975,Sort Your Music.htm,2025-10-21 22:27:49,4EYCOTnw9MOslzIdmXLtAx,spotify:track:4EYCOTnw9MOslzIdmXLtAx,As I Roved Out,The Mary Wallopers,A Mouthful of The Mary Wallopers,2019-07-06,45,,https://open.spotify.com/track/4EYCOTnw9MOslzIdmXLtAx,high
10,Goodnight World,Lisa O'Neill,2023-02-10,83,4,31,-19,29,3:45,97,46,4,7044,Sort Your Music.htm,2025-10-21 22:27:49,3rJQI8oyrFwdZg2GHKDShu,spotify:track:3rJQI8oyrFwdZg2GHKDShu,Goodnight World,Lisa O'Neill,All Of This Is Chance,2023-02-10,46,,https://open.spotify.com/track/3rJQI8oyrFwdZg2GHKDShu,high
11,Another Round,The Scratch,2022-03-11,121,92,51,-7,20,5:08,0,51,5,9423,Sort Your Music.htm,2025-10-21 22:27:49,0ansLolwMuxl8ubtrFCfFe,spotify:track:0ansLolwMuxl8ubtrFCfFe,Another Round,The Scratch,Another Round,2022-03-11,51,,https://open.spotify.com/track/0ansLolwMuxl8ubtrFCfFe,high
