Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
1,More Than You Know,Axwell /\ Ingrosso,2017-07-28,123,74,65,-5,57,3:23,3,78,NaN,6103,Sort Your Music.htm,2025-11-11 22:22:17,6h5PAsRni4IRlxWr6uDPTP,spotify:track:6h5PAsRni4IRlxWr6uDPTP,More Than You Know,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",More Than You Know,2017-07-28,78,,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP,playlist
2,Turn,The Wombats,2018-02-09,105,85,53,-4,38,3:28,1,0,NaN,6432,Sort Your Music.htm,2025-11-11 22:22:17,11IJA30efHAJLO3qroPh5L,spotify:track:11IJA30efHAJLO3qroPh5L,Turn,The Wombats,Beautiful People Will Ruin Your Life,2018-02-09,0,,https://open.spotify.com/track/11IJA30efHAJLO3qroPh5L,playlist
3,She's Casual,The Hunna,2016-08-26,130,59,44,-7,10,3:04,1,0,NaN,1999,Sort Your Music.htm,2025-11-11 22:22:17,5Iq9CfQQSqeU7sPzdACC67,spotify:track:5Iq9CfQQSqeU7sPzdACC67,She's Casual,The Hunna,100,2016-08-26,0,,https://open.spotify.com/track/5Iq9CfQQSqeU7sPzdACC67,playlist
4,Pink Lemonade,The Wombats,2015-01-13,144,96,56,-4,82,3:46,0,50,NaN,8242,Sort Your Music.htm,2025-11-11 22:22:17,1OqbX2MZ6ZzWP7HjMHbdkp,spotify:track:1OqbX2MZ6ZzWP7HjMHbdkp,Pink Lemonade,The Wombats,Glitterbug,2015-01-13,50,,https://open.spotify.com/track/1OqbX2MZ6ZzWP7HjMHbdkp,playlist
5,Sheila,Jamie T,2007-01-01,95,87,73,-6,71,4:20,9,54,NaN,8225,Sort Your Music.htm,2025-11-11 22:22:17,0FGtGmz8SVEywhUqNFYWsQ,spotify:track:0FGtGmz8SVEywhUqNFYWsQ,Sheila,Jamie T,Panic Prevention,2007-01-01,54,,https://open.spotify.com/track/0FGtGmz8SVEywhUqNFYWsQ,playlist
6,Preacher Man,THE DRIVER ERA,2018-03-16,120,95,69,-4,39,3:39,0,0,NaN,1362,Sort Your Music.htm,2025-11-11 22:22:17,25lrlvqhBed81hejnUIP5P,spotify:track:25lrlvqhBed81hejnUIP5P,Preacher Man,THE DRIVER ERA,Preacher Man,2018-03-16,0,,https://open.spotify.com/track/25lrlvqhBed81hejnUIP5P,playlist
7,Plot Twist,Marc E. Bassy,2017-10-13,97,64,54,-6,71,3:47,11,42,NaN,73,Sort Your Music.htm,2025-11-11 22:22:17,5wJL4o7k8m02m6ZM9KT0ir,spotify:track:5wJL4o7k8m02m6ZM9KT0ir,Plot Twist,"Marc E. Bassy, KYLE",Gossip Columns,2017-10-13,42,,https://open.spotify.com/track/5wJL4o7k8m02m6ZM9KT0ir,playlist
8,Afterglow,THE DRIVER ERA,2018-08-24,128,67,70,-5,75,3:09,44,24,NaN,5021,Sort Your Music.htm,2025-11-11 22:22:17,27HVoPo3YnNp01ulbbc6Dc,spotify:track:27HVoPo3YnNp01ulbbc6Dc,Afterglow,THE DRIVER ERA,Afterglow,2018-08-24,24,,https://open.spotify.com/track/27HVoPo3YnNp01ulbbc6Dc,playlist
9,Strawberry Vodka,Harry Gardner,2018-04-20,111,77,82,-5,31,2:58,18,0,NaN,9069,Sort Your Music.htm,2025-11-11 22:22:17,479BAyjeqwXytlo89uwvLd,spotify:track:479BAyjeqwXytlo89uwvLd,Strawberry Vodka,Harry Gardner,Strawberry Vodka,2018-04-20,0,,https://open.spotify.com/track/479BAyjeqwXytlo89uwvLd,playlist
10,Lucid Dreams,Juice WRLD,2018-05-23,84,57,51,-7,22,4:00,35,0,NaN,6263,Sort Your Music.htm,2025-11-11 22:22:17,0s3nnoMeVWz3989MkNQiRf,spotify:track:0s3nnoMeVWz3989MkNQiRf,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2018-05-23,0,,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,playlist
11,Your Lovin' (feat. MØ & Yxng Bane),Steel Banglez,2018-06-14,81,87,50,-5,38,3:24,7,50,NaN,2588,Sort Your Music.htm,2025-11-11 22:22:17,1p6Sc7zeA9dMIDT1mIpCJ1,spotify:track:1p6Sc7zeA9dMIDT1mIpCJ1,Your Lovin' (feat. MØ & Yxng Bane),"Steel Banglez, MØ, Yxng Bane",Your Lovin' (feat. MØ & Yxng Bane),2018-06-14,50,,https://open.spotify.com/track/1p6Sc7zeA9dMIDT1mIpCJ1,playlist
12,Opening,Sawyer Nunes,2018-10-12,170,66,62,-7,86,2:58,17,0,NaN,9676,Sort Your Music.htm,2025-11-11 22:22:17,6hpCPHKCM09WeTYoAMrzHJ,spotify:track:6hpCPHKCM09WeTYoAMrzHJ,Opening,Sawyer Nunes,Opening,2018-10-12,0,,https://open.spotify.com/track/6hpCPHKCM09WeTYoAMrzHJ,playlist
13,Taxi,The Maine,2017-04-07,186,96,48,-3,88,3:07,7,43,NaN,1622,Sort Your Music.htm,2025-11-11 22:22:17,6tkDUCTp0PmHH9BRNCYaJJ,spotify:track:6tkDUCTp0PmHH9BRNCYaJJ,Taxi,The Maine,Lovely Little Lonely,2017-04-07,43,,https://open.spotify.com/track/6tkDUCTp0PmHH9BRNCYaJJ,playlist
14,Small Town,The Faux,2017-06-20,119,91,61,-6,82,3:25,2,0,NaN,574,Sort Your Music.htm,2025-11-11 22:22:17,38n3KvgwqK9LOJyxM4fvoH,spotify:track:38n3KvgwqK9LOJyxM4fvoH,Small Town,The Faux,Are You Awake?,2017-06-20,0,,https://open.spotify.com/track/38n3KvgwqK9LOJyxM4fvoH,playlist
15,"don't worry, you will",lovelytheband,2017-09-22,120,70,75,-4,85,3:17,9,41,NaN,220,Sort Your Music.htm,2025-11-11 22:22:17,09akcdeCiV2jIl6x9WpmxA,spotify:track:09akcdeCiV2jIl6x9WpmxA,"don't worry, you will",lovelytheband,everything i could never say...,2017-09-22,41,,https://open.spotify.com/track/09akcdeCiV2jIl6x9WpmxA,playlist
16,Body Confident,The Hubbards,2017-09-27,85,86,48,-5,73,3:16,0,0,NaN,7192,Sort Your Music.htm,2025-11-11 22:22:17,6pCyGVfbrsfqZoYHLoHsgd,spotify:track:6pCyGVfbrsfqZoYHLoHsgd,Body Confident,The Hubbards,Body Confident,2017-09-27,0,,https://open.spotify.com/track/6pCyGVfbrsfqZoYHLoHsgd,playlist
17,Perfect,RØMANS,2018-09-07,109,68,77,-7,61,2:44,2,7,NaN,6332,Sort Your Music.htm,2025-11-11 22:22:17,1LAuEvDDTD5GaIrQZMoPgC,spotify:track:1LAuEvDDTD5GaIrQZMoPgC,Perfect,RØMANS,Perfect,2018-09-07,7,,https://open.spotify.com/track/1LAuEvDDTD5GaIrQZMoPgC,playlist
18,Dynamite (feat. Pretty Sister),Nause,2016-08-26,105,80,81,-6,69,3:15,5,42,NaN,6580,Sort Your Music.htm,2025-11-11 22:22:17,2Ae5awwKvQpTBKQHr1TYCg,spotify:track:2Ae5awwKvQpTBKQHr1TYCg,Dynamite (feat. Pretty Sister),"Nause, Pretty Sister",Dynamite (feat. Pretty Sister),2016-08-26,42,,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg,playlist
19,Rosie - Demo,Jordan Allen,2017-02-10,110,85,53,-4,39,3:43,0,0,NaN,1271,Sort Your Music.htm,2025-11-11 22:22:17,4VCHgx9qYuYr72Z7xGzfCU,spotify:track:4VCHgx9qYuYr72Z7xGzfCU,Rosie - Demo,Jordan Allen,Rosie (Demo),2017-02-10,0,,https://open.spotify.com/track/4VCHgx9qYuYr72Z7xGzfCU,playlist
