#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Who's Ready for Tomorrow","RAT BOY, IBDY",69,138,"","","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",2020-12-18,01:56,75,74,15,0,79,0,0,-6,A,4,2025-12-20,4mn5HdatHKN7iFGDes9G8i,"Lakeshore Records",11B,USLS52081703
2,"No Time To Die","Billie Eilish",77,71,"","","No Time To Die",2020-02-13,04:02,34,22,92,1,5,0,0,-13,E minor,4,2025-12-20,73SpzrcaHk0RQPFP73vqVR,"Darkroom/Interscope Records",9A,USUM72002771
3,"List of Demands (Reparations)","The Kills",32,140,"garage rock","Rock","List of Demands (Reparations)",2018-03-01,03:51,67,65,8,0,72,0,10,-6,D#/E♭ minor,4,2025-12-20,4Hr48SaawdgdXPkVJT27Lr,"Domino Recording Co",2A,GBCEL1700529
4,"Skyfall","Adele",0,76,"soft pop","Pop","Skyfall",2012-10-05,04:46,35,55,42,0,8,0,10,-7,C minor,4,2025-12-20,3mr584ZFSkZrWja9kJAzlb,"XL Recordings",5A,GBBKS1200164
5,"Burn the House Down","AJR",35,184,"","","Burn the House Down",2018-03-23,03:32,45,66,4,0,57,10,10,-4,C,4,2025-12-20,7ozYT2gIHVbE9MBzFyzoIK,"Black Butter",8B,QMRSZ1702960
6,"Miss Alissa","Eagles Of Death Metal",1,172,"stoner rock, garage rock","Rock","Peace Love Death Metal",2004-03-23,02:38,55,99,81,0,88,10,20,-4,C♯/D♭,4,2025-12-20,0YQXMFYxfHNagYPgQvurKH,"Ipecac Recordings",3B,US4N80500094
7,"Doomsday Blue","Bambie Thug",55,130,"","","Cathexis",2023-10-13,03:03,49,85,1,28,16,0,10,-7,A#/B♭ minor,4,2025-12-20,7qiEoVlFjb3KaytT2zgK1g,"HAUS OF THUG",3A,TCAHL2394072
8,"Crazy","Alicia Creti",44,132,"","","Crazy",2023-10-25,03:07,60,60,8,0,56,10,10,-6,C minor,4,2025-12-20,4MrHylaApgwWavJtwf38bK,"Atlantic Records",5A,USAT22310917
9,"Overwhelmed","Alicia Creti",48,147,"","","Overwhelmed",2025-11-21,03:51,35,47,32,0,28,0,10,-6,B,4,2025-12-20,1PF77rPYFoBNbWseo9utyS,"Atlantic Records",1B,USAT22508599
10,"Bleeding Me Dry","Alicia Creti",17,181,"","","Bleeding Me Dry",2024-06-14,03:27,33,76,2,0,54,0,10,-3,F minor,4,2025-12-20,44geItriPrsv3WPSTzT1jd,"Atlantic Records",4A,USAT22403556
