Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
1,Restless Little Heart,The Favors,2025-09-19,82,15,35,-13,19,0:55,92,61,2,7353,Sort Your Music.htm,2025-10-19 18:05:08,65qBg2ns881KyXf9Fmu4Kk,spotify:track:65qBg2ns881KyXf9Fmu4Kk,Restless Little Heart,"The Favors, FINNEAS, Ashe",The Dream,2025-09-19,61,,https://open.spotify.com/track/65qBg2ns881KyXf9Fmu4Kk,high
2,The Dream,The Favors,2025-09-19,114,71,68,-6,27,3:19,1,67,14,4135,Sort Your Music.htm,2025-10-19 18:05:08,1nhnWtSuXqkCm3tCPvhTv4,spotify:track:1nhnWtSuXqkCm3tCPvhTv4,The Dream,"The Favors, FINNEAS, Ashe",The Dream,2025-09-19,67,,https://open.spotify.com/track/1nhnWtSuXqkCm3tCPvhTv4,high
3,Moonshine,The Favors,2025-09-19,146,53,48,-6,32,3:07,12,63,29,2711,Sort Your Music.htm,2025-10-19 18:05:08,2XZ86GmAnSXwreUsCP9JGR,spotify:track:2XZ86GmAnSXwreUsCP9JGR,Moonshine,"The Favors, FINNEAS, Ashe",The Dream,2025-09-19,63,,https://open.spotify.com/track/2XZ86GmAnSXwreUsCP9JGR,high
4,The Little Mess You Made,The Favors,2025-09-19,108,47,66,-6,30,3:21,3,66,43,2767,Sort Your Music.htm,2025-10-19 18:05:08,6EFBcGR6chnBv9rmSN0ObX,spotify:track:6EFBcGR6chnBv9rmSN0ObX,The Little Mess You Made,"The Favors, FINNEAS, Ashe",The Little Mess You Made,2025-06-06,65,,https://open.spotify.com/track/6EFBcGR6chnBv9rmSN0ObX,high
5,The Hudson,The Favors,2025-09-19,74,42,49,-7,31,3:37,34,65,58,3094,Sort Your Music.htm,2025-10-19 18:05:08,7zHO50QOb1eTYdZSvLgPwm,spotify:track:7zHO50QOb1eTYdZSvLgPwm,The Hudson,"The Favors, FINNEAS, Ashe",The Hudson,2025-07-11,61,,https://open.spotify.com/track/7zHO50QOb1eTYdZSvLgPwm,high
6,Ordinary People,The Favors,2025-09-19,91,26,42,-10,9,1:29,77,61,72,1130,Sort Your Music.htm,2025-10-19 18:05:08,0ozV2ibxzI7XJ8ZkJJOTFQ,spotify:track:0ozV2ibxzI7XJ8ZkJJOTFQ,Ordinary People,"The Favors, FINNEAS, Ashe",The Dream,2025-09-19,61,,https://open.spotify.com/track/0ozV2ibxzI7XJ8ZkJJOTFQ,high
7,Necessary Evils,The Favors,2025-09-19,132,24,36,-8,10,3:14,75,62,87,4992,Sort Your Music.htm,2025-10-19 18:05:08,6JEoiuppaq2lmIItTzeJ0t,spotify:track:6JEoiuppaq2lmIItTzeJ0t,Necessary Evils,"The Favors, FINNEAS, Ashe",The Dream,2025-09-19,62,,https://open.spotify.com/track/6JEoiuppaq2lmIItTzeJ0t,high
8,Times Square Jesus,The Favors,2025-09-19,122,45,50,-11,22,4:15,68,61,101,6319,Sort Your Music.htm,2025-10-19 18:05:08,7j34jXXTTV5oCnlbqs7PQc,spotify:track:7j34jXXTTV5oCnlbqs7PQc,Times Square Jesus,"The Favors, FINNEAS, Ashe",Times Square Jesus,2025-08-13,56,,https://open.spotify.com/track/7j34jXXTTV5oCnlbqs7PQc,high
9,David's Brother,The Favors,2025-09-19,123,61,58,-6,38,3:37,34,68,116,2956,Sort Your Music.htm,2025-10-19 18:05:08,7HIIgAScOr8ywjvJiraobh,spotify:track:7HIIgAScOr8ywjvJiraobh,David's Brother,"The Favors, FINNEAS, Ashe",The Dream,2025-09-19,68,,https://open.spotify.com/track/7HIIgAScOr8ywjvJiraobh,high
10,Lake George,The Favors,2025-09-19,66,18,43,-11,17,4:20,76,62,130,449,Sort Your Music.htm,2025-10-19 18:05:08,2B3EvGJ0KXpjIsY4ymStlY,spotify:track:2B3EvGJ0KXpjIsY4ymStlY,Lake George,"The Favors, FINNEAS, Ashe",The Dream,2025-09-19,62,,https://open.spotify.com/track/2B3EvGJ0KXpjIsY4ymStlY,high
11,Someday I'll Be Back In Hollywood,The Favors,2025-09-19,92,56,53,-6,25,3:32,16,59,145,3254,Sort Your Music.htm,2025-10-19 18:05:08,5WMQs3ahP4o76r7REIaaDI,spotify:track:5WMQs3ahP4o76r7REIaaDI,Someday I'll Be Back In Hollywood,"The Favors, FINNEAS, Ashe, marinelli",The Dream,2025-09-19,59,,https://open.spotify.com/track/5WMQs3ahP4o76r7REIaaDI,high
12,Home Sweet Home,The Favors,2025-09-19,108,74,65,-5,62,3:28,4,71,154,3215,Sort Your Music.htm,2025-10-19 18:05:08,56CqQv5oOJmu70guWHLTTx,spotify:track:56CqQv5oOJmu70guWHLTTx,Home Sweet Home,"The Favors, FINNEAS, Ashe",The Dream,2025-09-19,71,,https://open.spotify.com/track/56CqQv5oOJmu70guWHLTTx,high
13,Brave,Joy Crookes,2025-09-19,85,47,63,-8,45,3:55,56,58,3,6545,Sort Your Music.htm,2025-10-19 18:05:08,288HSFmURcl6yxx4c5tFdr,spotify:track:288HSFmURcl6yxx4c5tFdr,Brave,Joy Crookes,Juniper,2025-09-19,58,,https://open.spotify.com/track/288HSFmURcl6yxx4c5tFdr,high
14,Pass the Salt (feat. Vince Staples),Joy Crookes,2025-09-19,101,69,68,-7,41,2:47,16,48,15,3862,Sort Your Music.htm,2025-10-19 18:05:08,0KNlcGzjtCGqpqVEdcDeWc,spotify:track:0KNlcGzjtCGqpqVEdcDeWc,Pass the Salt (feat. Vince Staples),"Joy Crookes, Vince Staples",Juniper,2025-09-19,48,,https://open.spotify.com/track/0KNlcGzjtCGqpqVEdcDeWc,high
15,Carmen,Joy Crookes,2025-09-19,109,42,66,-7,63,3:03,74,51,30,1104,Sort Your Music.htm,2025-10-19 18:05:08,2Len4tBitFcIf0sAp2zBOT,spotify:track:2Len4tBitFcIf0sAp2zBOT,Carmen,Joy Crookes,Carmen,2025-05-16,45,,https://open.spotify.com/track/2Len4tBitFcIf0sAp2zBOT,high
