Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
1,Once You (feat. Suzie Collier),Jacob Collier,2018-12-07,79.0,12.0,10.0,-18.0,4.0,9:24,83.0,27.0,0.0,3667.0,Sort Your Music.html,2025-10-04 23:05:12,0ivwnHxm9O76ruklFPWCpp,spotify:track:0ivwnHxm9O76ruklFPWCpp,Once You (feat. Suzie Collier),"Jacob Collier, Metropole Orkest, Jules Buckley, Suzie Collier",Djesse Vol. 1,2018-12-07,27,,https://open.spotify.com/track/0ivwnHxm9O76ruklFPWCpp,high
2,❤️,Coldplay,2021-10-15,137.0,5.0,35.0,-15.0,23.0,3:09,97.0,57.0,1.0,7747.0,Sort Your Music.html,2025-10-04 23:05:12,75JFxkI2RXiU7L9VXzMkle,spotify:track:75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,A Rush of Blood to the Head,2002-08-27,88,,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,low
3,Little Blue - Mahogany Sessions,Jacob Collier,2023-10-05,155.0,10.0,28.0,-15.0,12.0,7:33,92.0,43.0,5.0,687.0,Sort Your Music.html,2025-10-04 23:05:12,4dkxQNsQUboUQ2I4wXkE0d,spotify:track:4dkxQNsQUboUQ2I4wXkE0d,Little Blue - Mahogany Sessions,Jacob Collier,Little Blue – Mahogany Session,2023-10-05,43,,https://open.spotify.com/track/4dkxQNsQUboUQ2I4wXkE0d,high
4,"The Planets, Op. 32: VII. Neptune, the Mystic",Gustav Holst,1981-01-01,58.0,1.0,6.0,-42.0,3.0,8:47,92.0,44.0,3.0,750.0,Sort Your Music.html,2025-10-04 23:05:12,1plI1t3QxqrT5sKccwMQSJ,spotify:track:1plI1t3QxqrT5sKccwMQSJ,"Holst: The Planets, Op. 32: VII. Neptune, the Mystic","Gustav Holst, André Previn, Ambrosian Singers, London Symphony Orchestra","London Symphony Orchestra - British Composers. Holst, Elgar, Delius...",2025-10-03,5,,https://open.spotify.com/track/1plI1t3QxqrT5sKccwMQSJ,high
5,Home Is,Jacob Collier,2018-12-07,104.0,15.0,15.0,-19.0,3.0,5:45,98.0,35.0,12.0,37.0,Sort Your Music.html,2025-10-04 23:05:12,3nur4bNfmRCoLFxk9ubHHK,spotify:track:3nur4bNfmRCoLFxk9ubHHK,Home Is,"Jacob Collier, VOCES8",Djesse Vol. 1,2018-12-07,35,,https://open.spotify.com/track/3nur4bNfmRCoLFxk9ubHHK,high
6,"Adagio for Strings, Op. 11",Samuel Barber,1964,89.0,9.0,12.0,-20.0,3.0,9:56,91.0,56.0,2.0,811.0,Sort Your Music.html,2025-10-04 23:05:12,7nHvS6UUhz2gJhj8TIROLX,spotify:track:7nHvS6UUhz2gJhj8TIROLX,"Adagio for Strings, Op. 11","Samuel Barber, Leonard Bernstein, New York Philharmonic",Romantic Favorites for Strings (Expanded Edition),1964,56,,https://open.spotify.com/track/7nHvS6UUhz2gJhj8TIROLX,high
7,MOON MUSiC,Coldplay,2024-10-03,120.0,26.0,28.0,-17.0,8.0,4:36,85.0,52.0,15.0,8490.0,Sort Your Music.html,2025-10-04 23:05:12,4mEWgqYOEiygF1mzEn901R,spotify:track:4mEWgqYOEiygF1mzEn901R,MOON MUSiC,"Coldplay, Jon Hopkins",Moon Music (Full Moon Edition),2024-10-03,52,,https://open.spotify.com/track/4mEWgqYOEiygF1mzEn901R,high
8,Sea Of Sighs,Sondre Lerche,2025-01-10,77.0,19.0,7.0,-16.0,3.0,8:30,61.0,5.0,4.0,8120.0,Sort Your Music.html,2025-10-04 23:05:12,2KqmPHmezY7ST8tT5lFA4o,spotify:track:2KqmPHmezY7ST8tT5lFA4o,Sea Of Sighs,Sondre Lerche,Sea Of Sighs,2025-01-10,5,,https://open.spotify.com/track/2KqmPHmezY7ST8tT5lFA4o,high
9,Aerie,Lena Raine,2022-04-20,108.0,2.0,33.0,-21.0,4.0,4:57,98.0,53.0,6.0,6493.0,Sort Your Music.html,2025-10-04 23:05:12,0eCyLXuQvl6P09iymEGTXS,spotify:track:0eCyLXuQvl6P09iymEGTXS,Aerie,"Lena Raine, Minecraft",Minecraft: The Wild Update (Original Game Soundtrack),2022-04-20,53,,https://open.spotify.com/track/0eCyLXuQvl6P09iymEGTXS,high
10,Barber: Adagio for Strings,Samuel Barber,2023-04-15,73.0,7.0,6.0,-24.0,3.0,8:57,97.0,12.0,16.0,3052.0,Sort Your Music.html,2025-10-04 23:05:12,1CSaCKPIp2yCIDL3t7Fyau,spotify:track:1CSaCKPIp2yCIDL3t7Fyau,Barber: Adagio for Strings,"Samuel Barber, Sir Simon Rattle, Berliner Philharmoniker",Samuel Barber - Adagio,2010-01-18,55,,https://open.spotify.com/track/1CSaCKPIp2yCIDL3t7Fyau,high
11,Adagio for Strings and Organ in G Minor,Remo Giazotto,1978-01-01,66.0,13.0,19.0,-18.0,3.0,7:15,54.0,25.0,7.0,1592.0,Sort Your Music.html,2025-10-04 23:05:12,7e4N1wKpWKasbDJnGaNbK0,spotify:track:7e4N1wKpWKasbDJnGaNbK0,Adagio for Strings and Organ in G minor,"Remo Giazotto, Maria Teresa Garatti, I Musici",50 Revision Classics by Classic FM,2013-01-01,19,,https://open.spotify.com/track/7e4N1wKpWKasbDJnGaNbK0,high
12,Für Alina - Extended Version,Arvo Pärt,1999-10-15,68.0,0.0,48.0,-37.0,27.0,10:48,86.0,45.0,8.0,4828.0,Sort Your Music.html,2025-10-04 23:05:12,2Lio4KTzsA8BPLhXmyo4CQ,spotify:track:2Lio4KTzsA8BPLhXmyo4CQ,Für Alina - Extended Version,"Arvo Pärt, Alexander Malter",Arvo Pärt: Alina,1999-10-15,45,,https://open.spotify.com/track/2Lio4KTzsA8BPLhXmyo4CQ,high
13,"Hacernos
 Así - feat. Luisa Almaguer, Damon Albarn, Seye Adelekan, Nick Zinner, 
Joan as Police Woman & Mexican Institute of Sound",Africa Express,2025-06-19,180.0,23.0,23.0,-15.0,6.0,5:28,87.0,29.0,9.0,5624.0,Sort Your Music.html,2025-10-04 23:05:12,7EeDpbH2nWIDKPNGoSgw5a,spotify:track:7EeDpbH2nWIDKPNGoSgw5a,"Hacernos Así - feat. Luisa Almaguer, Damon Albarn, Seye Adelekan, Nick Zinner, Joan as Police Woman & Mexican Institute of Sound","Africa Express, Luisa Almaguer, Nick Zinner, Joan As Police Woman, Damon Albarn, Seye Adelekan, Mexican Institute Of Sound","Hacernos Así (feat. Luisa Almaguer, Damon Albarn, Seye Adelekan, Nick Zinner, Joan as Police Woman & Mexican Institute of Sound)",2025-06-19,29,,https://open.spotify.com/track/7EeDpbH2nWIDKPNGoSgw5a,high
14,Unconditional,Strangers on a Bench,2025-08-18,162.0,9.0,41.0,-15.0,14.0,2:43,93.0,29.0,10.0,5262.0,Sort Your Music.html,2025-10-04 23:05:12,36gQdYEQibJtEQoKwy3Cve,spotify:track:36gQdYEQibJtEQoKwy3Cve,Unconditional,"Strangers on a Bench, Martin Luke Brown",Unconditional,2025-08-18,29,,https://open.spotify.com/track/36gQdYEQibJtEQoKwy3Cve,high
15,Something In The Heavens,Lewis Capaldi,2025-09-18,116.0,36.0,46.0,-6.0,11.0,3:18,68.0,78.0,11.0,662.0,Sort Your Music.html,2025-10-04 23:05:12,4MHORmGs8oN7AASfGmApcM,spotify:track:4MHORmGs8oN7AASfGmApcM,Something In The Heavens,Lewis Capaldi,Something In The Heavens,2025-09-18,78,,https://open.spotify.com/track/4MHORmGs8oN7AASfGmApcM,high
16,Angscht,To Athena,2020-10-08,55.0,4.0,58.0,-17.0,17.0,3:48,95.0,44.0,13.0,3066.0,Sort Your Music.html,2025-10-04 23:05:12,0UkZDbVM7DQL2sIoIFZjXu,spotify:track:0UkZDbVM7DQL2sIoIFZjXu,Angscht,To Athena,Aquatic Ballet,2020-10-08,44,,https://open.spotify.com/track/0UkZDbVM7DQL2sIoIFZjXu,high
17,I Know (A Little),Jacob Collier,2025-09-12,125.0,24.0,43.0,-14.0,42.0,3:40,95.0,56.0,17.0,3509.0,Sort Your Music.html,2025-10-04 23:05:12,4sRvKhOMQ5F1dxCxMuaNbU,spotify:track:4sRvKhOMQ5F1dxCxMuaNbU,I Know (A Little),Jacob Collier,I Know (A Little),2025-09-12,56,,https://open.spotify.com/track/4sRvKhOMQ5F1dxCxMuaNbU,high
18,Moon (Feat. Bon Iver),Daniel Caesar,2025-09-23,140.0,36.0,47.0,-12.0,17.0,5:17,79.0,71.0,14.0,4079.0,Sort Your Music.html,2025-10-04 23:05:12,2RBvwQI858xReQpWSRO866,spotify:track:2RBvwQI858xReQpWSRO866,Moon (Feat. Bon Iver),"Daniel Caesar, Bon Iver",Moon,2025-09-23,71,,https://open.spotify.com/track/2RBvwQI858xReQpWSRO866,high
1,Does The Swallow Dream Of Flying,Cosmo Sheldrake,2024-01-17,114.0,23.0,53.0,-16.0,21.0,2:58,96.0,41.0,10.0,7709.0,Sort Your Music.html,2025-10-04 23:05:37,2PHs7aBxCHzG7rxTaaT2ud,spotify:track:2PHs7aBxCHzG7rxTaaT2ud,Does The Swallow Dream Of Flying,"Cosmo Sheldrake, HOWL",Eye To The Ear,2024-04-19,52,,https://open.spotify.com/track/2PHs7aBxCHzG7rxTaaT2ud,high
2,What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),Sting,2021-11-20,110.0,29.0,42.0,-9.0,16.0,3:33,58.0,1.0,11.0,1204.0,Sort Your Music.html,2025-10-04 23:05:37,2F27IYzFkhhrMChpfhVgPJ,spotify:track:2F27IYzFkhhrMChpfhVgPJ,What Have They Done To Us (from the series Arcane League of Legends),"Arcane, Mako, Grey",Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,61,,https://open.spotify.com/track/2F27IYzFkhhrMChpfhVgPJ,low
3,Mother Nature,RAYE,2023-10-27,83.0,44.0,16.0,-9.0,13.0,3:56,14.0,42.0,1.0,7898.0,Sort Your Music.html,2025-10-04 23:05:37,7FsETbTxNbbwx9KUjojpVP,spotify:track:7FsETbTxNbbwx9KUjojpVP,Mother Nature,"RAYE, Hans Zimmer",Mother Nature,2023-10-27,42,,https://open.spotify.com/track/7FsETbTxNbbwx9KUjojpVP,high
